0  8  6  2 12  9 11 21 25 17 27 24 26 30  4 10  3 29 22 23 14  1 13 18 20  7 16 28  5 15 19 31
0  8  6  2 12  9 11 21 25 17 27 24 26 30  4 10  3 29 22 23 14  1 13 18 20  7 16 28  5 15 19 31
0  8  6  2 12  9 11 21 25 17 27 24 26 30  4 10  3 28 29 22 23 14  1 13 18 20  7 16  5 15 19 31
0  9  8  6  2 12 11 21 25 17 27 24 26 30  4 10  3 28 29 22 23 14  1 13 18 20  7 16  5 15 19 31
0  9  8  6  2 12 11 21 25 17 27 24 26 30  4 10  3 28 29 22 23 14  1 13 18 20  7 16  5 15 19 31
0  9  8  6  2 12 11 21 25 17 27 24 26 30  4 10  3 28 29 22 23 14  1 13 18 20  7 16  5 15 19 31
0  9  8  6  2 12 11 21 25 17 27 24 26 30  4 10  3 28 29 22 23 14  1 13 18 20  7 16  5 15 19 31
0  9  8  6  2 12 11 21 25 17 27 24 26 30  4 10  3 28 29 22 23 14  1 13 18 20  7 16  5 15 19 31
0  9  8  6  2 12 11 21 25 17 27 24 26  4 30 10  3 28 29 22 23 14  1 13 18 20  7 16  5 15 19 31
0  9  8  6  2 12 11 21 25 17 27 24 26  4 30 10  3 28 29 22 23 14  1 13 18 20  7 16  5 15 19 31
0  9  8  6  2 12 11 21 25 17 27 24 26  4 30 10  3 28 29 22 23 14  1 13 18 20  7 16  5 15 19 31
0  9  8  6  2 12 11 21 25 17 27 24 26  4 30 10  3 28 29 22 23 14  1 13 18 20  7 16  5 15 19 31
0  9  8  6  2 12 11 21 25 17 27 24 26  4 30 10  3 28 29 22 23 14  1 13 18 20  7 16  5 15 19 31
0  9  8  6  2 12 11 21 25 17 27 24 26  4 30 10  3 28 29 22 23 14  1 13 18 20  7 16  5 15 19 31
0  9  8  6  2 12 11 21 25 17 27 24 26  4 30 10  3 28 29 22 23 14  1 13 18 20  7 16  5 15 19 31
0  9  8  6  2 12 11 21 25 17 27 24 26  4 30 10  3 28 29 22 23 14  1 13 18 20  7 16  5 15 19 31
0  9  8  6  2 12 11 21 25 17 27 24 26  4 30 10  3 28 29 22 23 14  1 13 18 20  7 16  5 15 19 31
0  9  8  6  2 12 11 21 25 17 27 24 26  4 30 10  3 28 29 22 23 14  1 13 18 20  7 16  5 15 19 31
0  9  8  6  2 12 11 21 25 17 27 24 26  4 30 10  3 28 29 22 23 14  1 13 18 20  7 16  5 15 19 31
0  9  8  6  2 12 11 21 25 17 27 24 26  4 30 10  3 28 29 22 23 14  1 13 18 20  7 16  5 15 19 31
0  9  8  6  2 12 11 21 25 17 27 24 26  4 30 10  3 28 29 22 23 14  1 13 18 20  7 16  5 15 19 31
0  9  8  6  2 12 11 21 25 17 27 24 26  4 30 10  3 28 29 22 23 14  1 13 18 20  7 16  5 15 19 31
0  9  8  6  2 12 11 21 25 17 27 24 26  4 30 10  3 28 29 22 23 14  1 13 18 20  7 16  5 15 19 31
0  9  8  6  2 12 11 21 25 17 27 24 26  4 30 10  3 28 29 22 23 14  1 13 18 20  7 16  5 15 19 31
0  9  8  6  2 12 11 21 25 17 27 24 26  4 30 10  3 28 29 22 23 14  1 13 18 20  7 16  5 15 19 31
0  9  8  6  2 12 11 21 25 17 27 24 26  4 30 10  3 28 29 22 23 14  1 13 18 20  7 16  5 15 19 31
0  9  8  6  2 12 11 21 25 17 27 24 26  4 30 10  3 28 29 22 23 14  1 13 18 20  7 16  5 15 19 31
0  9  8  6  2 12 11 21 25 17 27 24 26  4 30 10  3 28 29 22 23 14  1 13 18 20  7 16  5 15 19 31
0  9  8  6  2 12 11 21 25 17 27 24 26  4 30 10  3 28 29 22 23 14  1 13 18 20  7 16  5 15 19 31
0  9  8  6  2 12 11 21 25 17 27 24 26  4 30 10  3 28 29 22 23 14  1 13 18 20  7 16  5 15 19 31
0  9  8  6  2 12 11 21 25 17 27 24 26  4 30 10  3 28 29 22 23 14  1 13 18 20  7 16  5 15 19 31
0  9  8  6  2 12 11 21 25 17 27 24 26  4 30 10  3 28 29 22 23 14  1 13 18 20  7 16  5 15 19 31
0  9  8  6  2 12 11 21 25 17 27 24 26  4 30 10  3 28 29 22 23 14  1 13 18 20  7 16  5 15 19 31
0  9  8  6  2 12 11 21 25 17 27 24 26  4 30 10  3 28 29 22 23 14  1 13 18 20  7 16  5 15 19 31
0  9  8  6  2 12 11 21 25 17 27 24 26  4 30 10  3 28 29 22 23 14  1 13 18 20  7 16  5 15 19 31
0  9  8  6  2 12 11 21 25 17 27 24 26  4 30 10  3 28 29 22 23 14  1 13 18 20  7 16  5 15 19 31
0  9  8  6  2 12 11 21 25 17 27 24 26  4 30 10  3 28 29 22 23  1 14 13 18 20  7 16  5 15 19 31
0  9  8  6  2 12 11 21 25 17 27 24 26  4 30 10  3 28 29 22 23  1 14 13 18 20  7 16  5 15 19 31
0  9  8  6  2 12 11 21 25 17 27 24 26  4 30 10  3 28 29 22 23  1 14 13 18 20  7 16  5 15 19 31
0  9  8  6  2 12 11 21 25 17 27 24 26  4 30 10  3 28 29 22 23  1 14 13 18 20  7 16  5 15 19 31
0  9  8  6  2 12 11 21 25 17 27 24 26  4 30 10  3 28 29 22 23  1 14 13 18 20  7 16  5 15 19 31
0  9  8  6  2 12 11 21 25 17 27 24 26  4 30 10  3 28 29 22 23  1 14 13 18 20  7 16  5 15 19 31
0  9  8  6  2 12 11 21 25 17 27 24 26  4 30 10  3 28 29 22 23  1 14 13 18 20  7 16  5 15 19 31
